id,ID,ID_source,GivenName,MiddleName,FamilyName,Sex,DOB,Race,DOB_YR,DOB_MO,DOB_DY,is_match,Class,Weight,cutpnt
343,363,dat1_4RPYAAZ0PC,PIPER,VICTORIA,DAVIS,F,2/9/2020,Asian,2020,2,9,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
107,366,dat2_2017AB85906,HOPE,OLIVIA,ROBINSON,F,9/1/2017,White,2017,9,1,,,,NA
346,366,dat1_WBNZWW0Q4A,HOPE,OLIVIA,ROBINSON,F,9/1/2017,White,2017,9,1,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
109,369,dat2_2019AB82627,CHARLOTTE,NICOLE,KIM,F,8/4/2019,White,2019,8,4,,,,NA
349,369,dat1_0O26U9DCQY,CHARLOTTE,NICOLE,KIM,F,8/4/2019,White,2019,8,4,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
110,370,dat2_2017AB58732,ISABELLA,MARIE,SINGH,F,2/13/2017,White,2017,2,13,,,,NA
350,370,dat1_PTADL42OJQ,ISABELLA,MARIE,SINGH,F,2/13/2017,White,2017,2,13,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
111,373,dat2_2017AB32492,AMELIA,CLAIRE,WILLIAMS,F,6/16/2017,White,2017,6,16,,,,NA
353,373,dat1_REXVIYZBJS,AMELIA,CLAIRE,WILLIAMS,F,6/16/2017,White,2017,6,16,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
112,379,dat2_2018AB16174,HARPER,JANE,GARCIA,F,12/14/2018,NHOPI,2018,12,14,,,,NA
359,379,dat1_6NE8RZBMZA,HARPER,JANE,GARCIA,F,12/14/2018,NHOPI,2018,12,14,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
113,387,dat2_2018AB90428,ELEANOR,JOY,LEWIS,F,6/28/2018,White,2018,6,28,,,,NA
367,387,dat1_6AGJW442JP,ELEANOR,JOY,LEWIS,F,6/28/2018,White,2018,6,28,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
116,391,dat2_2019AB53238,LILA,ANNE,KIM,F,3/10/2019,White,2019,3,10,,,,NA
371,391,dat1_WA30CICC6M,LILA,,KIM,F,3/10/2019,White,2019,3,10,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
117,394,dat2_2019AB73524,AUDREY,FAITH,LEE,F,2/23/2019,AIAN,2019,2,23,,,,NA
374,394,dat1_97EW5HKYTA,AUDREY,FAITH,LEE,F,2/23/2019,AIAN,2019,2,23,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
120,399,dat2_2016AB77525,SAVANNAH,GRACE,PATEL,F,11/2/2016,White,2016,11,2,,,,NA
379,399,dat1_UB1V6W2UAJ,SAVANNAH,GRACE,PATEL,F,11/2/2016,White,2016,11,2,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
122,413,dat2_2019AB35466,HADLEY,LYNN,HERNANDEZ,F,2/8/2019,White,2019,2,8,,,,NA
393,413,dat1_8JRFYWSJ0K,HADLEY,LYNN,HERNANDEZ,F,2/8/2019,White,2019,2,8,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
123,414,dat2_2020AB37234,REESE,HOPE,TAYLOR,F,10/13/2020,White,2020,10,13,,,,NA
394,414,dat1_MR0SHD439K,REESE,HOPE,TAYLOR,F,10/13/2020,White,2020,10,13,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
126,417,dat2_2016AB31481,PAISLEY,JANE,LEWIS,F,12/16/2016,White,2016,12,16,,,,NA
397,417,dat1_AFCYG0GULE,PAISLEY,JANE,LEWIS,F,12/16/2016,White,2016,12,16,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
127,420,dat2_2017AB61987,MOLLY,FAITH,COLLINS,F,1/12/2017,White,2017,1,12,,,,NA
400,420,dat1_76MH05C4PR,MOLLY,FAITH,COLLINS,F,1/12/2017,White,2017,1,12,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
130,427,dat2_2017AB21499,POPPY,ROSE,WILLIAMS,F,8/14/2017,White,2017,8,14,,,,NA
407,427,dat1_7FMOBYQNHJ,POPPY,ROSE,WILLIAMS,F,8/14/2017,White,2017,8,14,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
131,431,dat2_2019AB63737,PHOEBE,MARIE,KIM,F,7/5/2019,White,2019,7,5,,,,NA
411,431,dat1_TKH1LO5H9U,PHOEBE,MARIE,KIM,F,7/5/2019,White,2019,7,5,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
132,434,dat2_2017AB71353,ALEXA,MARIE,JOHNSON,F,4/21/2017,White,2017,4,21,,,,NA
414,434,dat1_59N9NO1SSH,ALEXA,MARIE,JOHNSON,F,4/21/2017,White,2017,4,21,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
133,438,dat2_2016AB05587,AUTUMN,MARIE,MILLER,F,12/22/2016,White,2016,12,22,,,,NA
418,438,dat1_HBJWFCFPH3,AUTUMN,MARIE,MILLER,F,12/22/2016,White,2016,12,22,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
134,439,dat2_2018AB08362,BROOKLYN,JANE,GARCIA,F,5/30/2018,White,2018,5,30,,,,NA
419,439,dat1_E7SYLBHS2G,BROOKLYN,JANE,GARCIA,F,5/30/2018,White,2018,5,30,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
136,442,dat2_2018AB19563,PIPER,LYNN,WRIGHT,F,11/18/2018,White,2018,11,18,,,,NA
422,442,dat1_I7MSMGC0I4,PIPER,LYNN,WRIGHT,F,11/18/2018,White,2018,11,18,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
137,445,dat2_2020AB51355,LILY,MARIE,SMITH,F,1/6/2020,Asian,2020,1,6,,,,NA
425,445,dat1_QZUX9F8A2Z,LILY,MARIE,SMITH,F,1/6/2020,Asian,2020,1,6,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
139,451,dat2_2019AB55250,SOPHIA,HOPE,KIM,F,8/3/2019,Asian,2019,8,3,,,,NA
431,451,dat1_ZUZU0Y7U2A,SOPHIA,HOPE,KIM,F,8/3/2019,Asian,2019,8,3,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
140,454,dat2_2018AB24520,LILY,FAITH,LEE,F,9/8/2018,NHOPI,2018,9,8,,,,NA
434,454,dat1_C9545W544N,LILY,FAITH,LEE,F,9/8/2018,NHOPI,2018,9,8,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
141,458,dat2_2018AB35181,ZOEY,MARIE,DAVIS,F,12/27/2018,White,2018,12,27,,,,NA
438,458,dat1_U7BF6GTULM,ZOEY,MARIE,DAVIS,F,12/27/2018,White,2018,12,27,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
144,471,dat2_2016AB93852,WILLIAM,MATTHEW,CAMPBELL,M,2/19/2016,AIAN,2016,2,19,,,,NA
451,471,dat1_OV5SE8X7XU,WILLIAM,MATTHEW,CAMPBELL,M,2/19/2016,AIAN,2016,2,19,1,L,1,"(0.99,1]"
,,,,,,,,,,,,,,,NA
145,479,dat2_2019AB56144,RYAN,CHRISTOPHER,TAYLOR,M,11/3/2019,NHOPI,2019,11,3,,,,NA
