"ID","Last Name","First Name","Middle Name","Date of Birth","Sex","Race","UNID","InSample"
29,"Rodriguez","Samir ","Aliyah","12/8/2020","Male","Black","QG1PHO7C6M",NA
30,"Wong-Chen","Natasha ","Téo","11/5/2016","Female","White","028S7CDJKY",NA
31,"Torres","Yusef ","Henrik","1/31/2017","Male","White","YHXC8UPFOH",NA
32,"Kimura","Maya ","Mayumi","10/12/2018","Female","AIAN","0QMR18XB7K",NA
33,"Takahashi","Adil ","Elias","12/19/2019","Male","White","4NEN6C7QIT",NA
34,"García-Rodríguez","Amal ","Niamh","8/23/2020","Female","White","TQXPKGL50C",1
35,"Ali-Jones","Isaac ","Arseniy","4/18/2017","Male","White","ZYRNKYG64B",1
37,"Ruiz","Jin ","Finn","9/5/2018","Male","Black","BKYB1QSGRY",1
38,"Morita","Anika ","Jia","5/10/2016","Female","White","G7ZO96JK4A",NA
39,"Johnson-Lee","Amir ","Florian","11/22/2020","Male","White","EFJZR0JJ1Z",NA
40,"Ramirez","Noemi ","Soraya","11/12/2018","Female","Black","LV8BF2X53H",NA
41,"Ahmed-Khan","Luis ","Artur","10/18/2017","Male","White","ID9048GM1J",NA
42,"Gonzalez-Rodriguez","Farah ","Nadia","2/15/2019","Female","White","1H4CPXSSR0",NA
43,"Kim-Kimura","Rishi ","Valentina","1/21/2019","Male","White","JN9NYB8UEA",NA
44,"Nguyen-Pham","Mei Ling ","Efe","4/1/2016","Female","AIAN","DSKRQRIQLJ",NA
45,"Patel-Shah","Selim ","Hana","12/20/2017","Male","Asian","FJQF078NW4",NA
46,"Takada","Laila ","Javier","2/24/2018","Female","White","OHCS9MRMEL",NA
47,"Chang-Liu","Jun ","Maritza","6/25/2019","Male","White","Z4CRSRITY9",1
48,"Lee-Kim","Camila ","N","3/19/2017","Female","White","1L9WNMRB7D",1
49,"Choudhury","Rohan ","M","9/16/2018","Male","Black","U18NIG95WB",NA
50,"Sato","Naima ","Hassan","1/1/2017","Female","White","RUKTPPPDOY",1
51,"Martinez-Gonzalez","Arjun ","E","8/7/2018","Male","Asian","E01UBFFZR2",NA
52,"Ortiz-Santos","Kaya ","S","7/10/2020","Female","White","NXU4EA0QRO",1
53,"Lee-Lee","Zainab ","Amina","6/2/2017","Female","Asian","2PFF2PECQJ",NA
54,"García-Sánchez","Anton ","L","10/17/2016","Male","NHOPI","I5GNZDRXAD",1
55,"Ali-Malik","Hanna ","Karolina","6/12/2019","Female","Asian","9FMG34GL9J",1
56,"Wang-Zhang","Nathan ","Omar","8/6/2017","Male","NHOPI","0VWJBXCTGV",NA
57,"Dubois-Martin","Sanaa ","Kira","1/2/2020","Female","Black","Z3ZUBOKRFF",NA
58,"Park-Kim","Hiroto ","O","12/29/2019","Male","White","ARRMFAJ442",NA
59,"García-López","Amina ","Safiya","1/25/2020","Female","White","XLYUTM4IMX",NA
60,"Lee-Chen","Alejandro ","Yara","7/1/2016","Male","Black","42QWEUNOIB",NA
61,"Hernandez-Diaz","Tala ","Aydin","5/24/2017","Female","White","VDSGV2KJJR",NA
62,"Lee-Chang","Ali ","Veronika","9/2/2016","Male","White","W3T15GPXN2",NA
63,"Cohen-Goldberg","Lena ","Nour","1/29/2017","Female","Asian","FSQ2XRG2EN",NA
64,"Nakamura-Yamamoto","Omar ","Andrzej","5/13/2019","Male","White","3VMF0NGG8L",1
65,"Iwamoto-Tanaka","Kiana ","Leticia","9/19/2017","Female","White","1TVEMW2EV1",NA
66,"O'Connor-O'Neill","Aliya ","A","8/17/2016","Female","White","T115URQVXI",NA
67,"Rodriguez-García","Roman ","Jelena","11/14/2018","Male","NHOPI","AD6YN2AUEH",NA
68,"Kim-Choi","Aaliyah ","Marisol","4/28/2018","Female","White","YOF3B0GX3W",1
69,"Chen","Marcelo ","Eduardo","11/30/2017","Male","White","W05SKZS6YT",NA
70,"Smith-Johnson","Anisa ","","12/3/2016","Female","White","OKXHO0YV07",1
71,"Wong","Kai ","Solveig","7/28/2020","Male","Asian","368TVTTRBH",1
72,"Torres-Rodriguez","Jasmine ","Giselle","10/27/2017","Female","Black","H3ZVRNTXJ9",1
74,"Nguyen-Tran","Sanaya ","","1/10/2019","Female","White","GMDSR7SU9M",NA
75,"Ahmed-Mirza","Navid ","Kai","10/11/2019","Male","White","ZIJEMUFXYL",NA
76,"Ramirez-García","Amira ","Oksana","3/8/2017","Female","Black","27WDTRXBQP",NA
77,"Gonzalez-Santos","Rafael ","Luca","6/23/2018","Male","White","2EHFQJTPXQ",NA
79,"Takada-Tanaka","Omar ","Hasan","12/23/2020","Male","NHOPI","JV2UMTQFQI",NA
80,"Chang-Chen","Selena ","Kiana","1/19/2020","Female","Asian","Q6FPWYVEG1",1
81,"Lee-Park","Yusuf ","Rasmus","8/26/2019","Male","White","AQ0JCTCZ5S",1
82,"García-Pérez","Lina ","","2/18/2017","Female","White","A9XVGTNYX3",NA
83,"Ali-Kazmi","Santiago ","","11/2/2017","Male","White","6OKCMIYBH7",NA
84,"Ortiz-Rodríguez","Lila ","Fatoumata","4/14/2020","Female","White","UNJK41UZGM",1
85,"Kim-Kang","Amirah ","Santiago","6/4/2019","Female","Asian","FTCDJEQI5L",NA
86,"Dubois-Dupont","Matteo ","Analia","4/22/2017","Male","White","6EFW6YUJ3G",NA
87,"Hernandez-Gonzalez","Lila ","Inessa","1/15/2018","Female","White","BSA9B7OCJM",1
88,"Sato-Nakamura","Yusuf ","","11/18/2019","Male","AIAN","LOEDW6DENQ",1
89,"Chen-Lee","Hana ","","6/3/2020","Female","White","DGH0S4NHD7",NA
90,"Martinez-Hernandez","Tariq ","Abdullah","5/9/2018","Male","White","EGU0JIDBGJ",NA
94,"Nakamura-Kato","Ayman ","Antonia","7/20/2017","Male","AIAN","W55MD5B35X",NA
95,"Lee-Wong","Olivia ","Nabil","3/1/2016","Female","White","R62TP3EANR",NA
96,"Kim-Lim","Malik ","Ilana","3/12/2018","Male","NHOPI","O6Q3B5EY6K",NA
97,"Ramirez-Morales","Laila ","","9/8/2016","Female","Black","5K3TGIOBGD",NA
98,"Cohen-Levy","Emre ","","1/26/2017","Male","Black","3ZXPE8FGXD",NA
99,"Garcia-Lopez","Aisha ","Krama","9/17/2019","Female","White","F8VTCMXSEI",NA
100,"Chang-Kim","Akira ","","4/20/2020",NA,"White","OK9SXK38NW",NA
101,"Brown","Harper","Grace","11/16/2019","Female","Black","7N2PSK0BIK",NA
102,"Carter","Grayson","James","8/26/2017","Male","White","IX44Y297OX",NA
103,"Anderson","Emerson","Nicole","3/27/2018",NA,"Black","4KL5HTHENM",NA
104,"Davis","Rowan","Alexander","6/18/2020","Male","NHOPI","Q0YHVOIQQN",NA
105,"Miller","Riley","Matthew","2/8/2017","Female","Black","6F1T359P4U",NA
106,"Campbell","Avery","John","12/1/2017","Male","AIAN","2DSKYBXEQF",NA
107,"Johnson","Skylar","Marie","4/2/2016","Female","AIAN","FJ6QLLW9SH",NA
108,"Hughes","Jordan","William","9/30/2019","Male","Black","M7LTQFTKZO",NA
109,"Ramirez","Quin","Annabelle","1/23/2018","Female","Asian","5WILOFIDAF",1
110,"Peterson","Casey","J","8/15/2017","Male","Asian","XDLGZP6YVO",NA
112,"Hayes","Dakota","Andrew","11/10/2019","Male","White","F93XYEU5GU",NA
113,"Jenkins","Aubrey","Sophia","10/5/2020","Female","White","YPNPF4465F",1
114,"Cooper","Hayden","Thomas","12/5/2019",NA,"White","RK8RTPCXTY",NA
115,"Thompson","Sydney","Olivia","3/18/2016","Female","NHOPI","YSC81J49K0",NA
116,"Mason","Charlie","Benjamin","7/31/2018","Male","Black","D7G7RV4H2R",NA
117,"Sanders","Morgan","Emily","2/19/2019","Female","White","PYUXQ1ATNB",NA
118,"James","Taylor","David","9/16/2020","Male","Asian","BYUNIMEZZM",NA
119,"White","Sage","Isabella","5/7/2016","Female","White","RCSGQ4MLSC",1
120,"Flores","Devon","C","7/10/2019","Male","White","2HEM4GIWPI",NA
121,"King","Kendall","M","12/18/2016","Female","AIAN","C1LPF95QNJ",NA
122,"Allen","Drew","Samuel","11/21/2018","Male","Black","MU1WM6I3C3",1
123,"Edwards","Cameron","Claire","4/14/2017","Female","White","H6Z5P5XB8H",NA
124,"Ross","Casey","Michael","8/28/2020","Male","White","6DE4B9GNDW",NA
125,"Baker","Blair","Abigail","1/30/2018","Female","NHOPI","TZ7XNZVF8M",NA
126,"Nelson","Blake","Joseph","10/22/2016","Male","Black","TK9ACBLDH0",NA
127,"Scott","Addison","Charlotte","5/3/2019","Female","White","ZL3B2RLIME",NA
128,"Carter-Williams","Jesse","Jack","3/5/2017",NA,"Black","P8NEPFZ1FZ",NA
129,"Green","Bailey","Daniel","11/14/2020","Female","Black","UWTF5X8I8Z",1
130,"Young","Taylor","Fox","7/11/2018","Male","White","KV98BQXRET",NA
131,"Lee","Morgan","Nicholas","9/5/2017","Female","White","W0R7N2ZIGC",1
132,"Gonzalez","Jamie","Burt","12/15/2019","Male","AIAN","KNGFLCBLXP",NA
133,"Hall","Avery","Ryan","1/7/2020","Female","White","YPOD3SKM0A",1
135,"Bailey","Dana","Avery","2/23/2017","Female","White","TJBI8FPDSJ",NA
136,"Powell","Hayden","Harper","11/25/2018","Male","Black","IJ434U6WVY",NA
137,"Adams","Robin","Emily","9/23/2020","Female","Black","AYPEOEQLU0",NA
138,"Wright","Skyler","Robert","5/20/2019","Male","White","RHVXWZBXZW",NA
139,"Williams","Jordan","Carol ","12/22/2017","Female","White","D4VRCCXOXD",NA
140,"Marshall","Sage","Caroline","4/4/2018","Male","Black","6YND97IRE6",NA
141,"Ortiz","Payton","","3/8/2016","Female","White","BCFQ2Y1BAZ",1
142,"Lee-Kim","Rory","George","7/28/2020",NA,"White","DB0BC9AJKS",NA
143,"Collins","Kendall","Audrey","8/25/2017","Female","White","NUBQJAQP1Z",NA
144,"Taylor","Emery","","1/22/2018","Male","AIAN","FAXY757J9M",NA
145,"Lopez","Casey","","10/7/2016","Female","Asian","55RNGGDA7D",NA
146,"Cook","Rylan","","6/21/2019","Male","White","Z8UKTRBKMT",1
147,"Torres","Cameron","","2/17/2020","Female","White","E4UART3JDZ",NA
148,"Richardson","Drew","","12/28/2018","Male","White","VG93QIVY6B",1
149,"Martinez","Harper","","9/10/2017","Female","Black","W9BCRCPG9K",NA
150,"Davis-Scott","Logan","","11/20/2020","Male","Asian","X8K444ZC19",1
151,"Thompson-Jones","Avery","","7/19/2018","Female","Asian","G66PRZVGQ7",NA
152,"Martin","Tyler","","4/19/2017","Male","White","5CKQOUO5RP",NA
153,"Murphy","Jordan","","3/15/2016","Female","Asian","U2NBHN0S9K",NA
154,"Gray","Finley","","1/16/2018","Male","NHOPI","0IJCTM5XW0",NA
155,"Wattson","Chelsey","Elizabeth","10/12/2016","Female","","IWULLLAOB8",1
156,"Morris","Spencer","","4/25/2019",NA,"NHOPI","2EW6UH3MM0",1
158,"Evans","Sawyer","","8/8/2017","Male","White","4LDTQNQHHR",NA
159,"Robinson","Alex","","12/29/2019","Female","White","BC89Y3428Q",NA
160,"Parker-Smith","Casey","","11/26/2018","Male","Black","FZ74K5O22Q",NA
161,"Mitchell","Harley","","1/12/2016","Female","White","W9VW6VPX4P",NA
162,"Turner","River","","7/16/2019","Male","White","RQ8PDECN1A",NA
163,"Phillips","Blair","","5/28/2017","Female","Asian","CYZKC2V28F",NA
164,"Rodriguez","Hayden","Christopher","3/11/2018","Male","White","FCEQXZ94QE",1
165,"Hernandez-Cruz","Dakota","","12/23/2020","Female","White","QIBDVQ4D6N",1
166,"Rivera-Flores","Tyler","Aaron","8/4/2018","Male","White","P7FUSEAVB6",1
167,"Scott-Harris","Jamie","","2/6/2017","Female","NHOPI","K0E7SLW089",1
168,"Reed","Cameron","Jonathan","6/1/2019","Male","White","PVFPH8J24O",NA
169,"Hayes-Kim","Avery","Addison","10/27/2016",NA,"White","2F6YF9P54B",NA
170,"Peterson-Hall","Skylar","Samuel","5/15/2020","Male","White","X49TYPBZQE",NA
171,"Powell-Bailey","Riley","Ava","1/19/2018","Female","AIAN","I0W4TECTW5",NA
173,"James-Thomas","Taylor","Clara","12/11/2019","Female","White","6FHSXC4VA5",NA
174,"Rivera","Casey","Ethan","11/8/2018","Male","White","O5QVUHLUMW",1
175,"Carter-Jackson","Aubrey","Ruby","4/9/2016","Female","White","HELUHQBDK5",NA
176,"Ward","Cameron","Jackson","8/1/2017","Male","Black","2KY9T6TWX1",NA
177,"Collins-Jones","Morgan","Piper","11/22/2018","Female","White","B0W7H99UVB",NA
178,"Wright-Anderson","Avery","Alexander","2/25/2019","Male","AIAN","HBU2ZI2S6R",NA
179,"Reyes","Harper","Violet","10/15/2020","Female","NHOPI","U5F4I04H7H",NA
180,"Rodriguez","Devon","Benjamin","5/5/2016","Male","Asian","IXWSAXWHMO",NA
181,"Price","Jules","Fiona","7/5/2019","Female","White","77PBRIQBCI",NA
182,"Butler","Rowan","Jacob","12/8/2016","Male","White","ML9S7HNNE8",NA
183,"Cruz","Kendall","Aurora","9/14/2020","Female","White","70KMQVWK22",NA
184,"Baker-Jones","Arden","Caleb","3/28/2017","Male","White","W9T1X41HSE",NA
185,"Henderson","Sage","Camila","8/11/2018","Female","Asian","PAEYPZDVL9",NA
186,"Smith","Casey","Logan","1/26/2018","Male","White","40DPRAD9A6",NA
187,"Carter-Harris","Jamie","Maya","11/27/2020","Female","White","5VF8P1A9Q1",NA
188,"Parker-Watson","Tatum","Henry","6/30/2018","Male","AIAN","H0Z155641H",NA
189,"Gonzalez-Rodriguez","Dakota","Hadley","10/2/2017","Female","White","KCEVQ6CNL3",NA
190,"Murphy-Johnson","Jesse","Nathaniel","12/26/2019","Male","White","6EXOLWZIU0",NA
191,"Thompson-Ross","Taylor","Sadie","1/1/2017","Female","White","9LW7HSCCG1",NA
192,"Ramirez-Sanchez","Payton","Thomas","4/18/2018","Male","Black","LYWQ6COVIB",NA
193,"Williams-Anderson","Jordan","Leah","7/22/2019","Female","NHOPI","5JXB1LPK97",NA
194,"Martin-Bailey","Morgan","Jack","2/13/2016","Male","AIAN","KI4JJAKF0F",1
195,"Turner-Phillips","Emerson","Natalia","8/6/2020","Female","White","F5TH7G4LA4",NA
196,"Anderson-Lee","Blair","Luke","10/30/2016","Male","NHOPI","82NM3OJ5E2",NA
197,"Miller-Campbell","Sidney","Lauren","12/20/2017","Female","Black","8EU9ND4EZ0",NA
198,"Johnson-Hayes","Finley","Julian","6/11/2019","Male","Black","17X2QDRUTK",1
199,"Thomas-Cooper","Logan","Ellie","4/12/2020","Female","White","WQZICHRC0R",1
200,"Davis-Lopez","Dylan","Isaac","1/8/2017","Male","White","CQZWPWFUEE",NA
201,"Tafiti","Tevita","Manu","8/9/2019","Male","NHOPI","IAFOH62R3X",NA
202,"Toluao","Liana","Tuipulotu","3/20/2018","Female","NHOPI","1ZJGEYA2C0",NA
204,"Mokonu","Ana","Paua","11/8/2019","Female","White","91JJJQMY8W",1
205,"Nuku","Tane","Kamu","4/24/2017","Male","NHOPI","B1J137XIL9",NA
206,"Finau","Leilani","Malia","10/17/2017","Female","NHOPI","7WE2W9Q4CB",NA
207,"Patea","Tuakana","Toa","6/25/2020","Male","NHOPI","MJDIDWOSNP",1
208,"Ika","Nani","Kaiapoi","2/7/2019","Female","NHOPI","P6UO4FT2N1",NA
210,"Tavita","Mele","Kula","5/31/2017","Female","NHOPI","56BZFU5VN5",1
211,"Ngakau","Tama","Kauri","9/5/2019","Male","NHOPI","E4P9XOZQIB",NA
212,"Teura","Sina","Orama","11/30/2017","Female","NHOPI","VWQQUA2N3V",1
213,"Hin","Vai","Fale","1/22/2018","Male","White","RGDHSVCG4A",1
214,"Lupeamanu","Latai","Fusi","3/10/2019","Female","NHOPI","9Z1S9261KR",NA
215,"Tuala","Iakopo","Lutu","8/3/2017","Female","NHOPI","PGTV937P5B",1
216,"Tane","Hinemoa","Atareta","10/11/2018","Female","NHOPI","4RMVMUVSZJ",1
217,"Falevai","Nukualofa","Sione","3/4/2019","Male","NHOPI","4457P2UW80",1
218,"Tanifa","Moana","Faiva","4/8/2020","Female","NHOPI","XG50YA3E1A",NA
220,"Enua","Vaine","","1/18/2017","Female","NHOPI","BVHKR2IQYH",NA
221,"Falelauniu","Tui","","9/28/2018","Male","NHOPI","NELFENJJG3",NA
222,"Pou","Aroha","","5/6/2016","Female","NHOPI","4FZ7O47EJK",1
223,"Uelese","Naea","","2/26/2020","Male","NHOPI","GJQ2PFZ3CB",NA
224,"Amuia","Afa","","12/5/2017","Female","NHOPI","D9857ABAJL",1
225,"Leau","Pita","","6/17/2020","Male","NHOPI","PY3S29L55Z",NA
226,"Aso","Ululoloa","","3/2/2016","Female","NHOPI","FL5I62XS6W",NA
227,"Leilani","Fale","","11/9/2020","Male","NHOPI","8DP3YEWTUX",NA
228,"Taula","Anaseini","","10/22/2017","Female","NHOPI","UUM5KA48SS",NA
229,"Latai","Falefitu","","4/27/2018","Male","NHOPI","6YVZKT2N1G",NA
230,"Tausisi","Vave","","1/12/2019","Female","NHOPI","PMXM98IPPX",NA
231,"Manu","Taua","","8/18/2017","Male","NHOPI","OGEHO4BS27",NA
232,"Lologa","Alisi","","12/17/2018","Female","NHOPI","QE7136HV34",NA
233,"Katoa","Pasi","","11/21/2020","Male","NHOPI","79WSB2TUL5",1
234,"Iaone","Kava","","7/8/2016","Female","NHOPI","ED62W17BRB",1
235,"Tupou","Taimane","Makoa","3/16/2017","Male","NHOPI","EDH3MCFWA2",NA
236,"Faleolo","Sela","Alapati","10/13/2019","Female","NHOPI","46T5CGDABW",NA
237,"Kaipo","Mikaele","Taufa","6/20/2018","Male","NHOPI","4L34LV0GCU",1
238,"Salote","Sela","Siale","4/14/2020","Female","NHOPI","TFK6IO92ZM",NA
239,"Onaona","Toa","Malakai","8/15/2019","Male","NHOPI","NX13886Q6A",1
240,"Puna","Kaleo","A","12/19/2016","Female","NHOPI","I2Q6DMDV6P",NA
241,"Tupo","Lopeti","Tuilevuka","11/4/2017","Male","NHOPI","SZUONUFSCF",NA
242,"Noho","Kie","Hauoli","2/8/2020","Female","NHOPI","0ISSNZLY56",NA
243,"Finau","Lopeti","M","5/23/2018","Male","NHOPI","5L049OUKHN",NA
244,"Lupeamanu","Lila","Mele","9/11/2019","Female","NHOPI","DQ2L80W4NW",NA
245,"Ola","Palefau","Soane","1/8/2017","Male","NHOPI","083S3QPX8K",1
246,"Tuitupou","Fetu","Leilani","6/11/2020","Female","NHOPI","U98JSZYSVI",1
248,"Nafanua","Alamea","Taula","4/4/2019","Female","NHOPI","O9P2LPWC56",NA
249,"Lologa","Fale","Ula","7/30/2017","Male","NHOPI","I1PMS0S5V0",NA
250,"Matakino","Maimoa","Lanihuli","12/24/2020","Female","NHOPI","Y19BZS4XU4",NA
251,"Williams","Jasmine","Michelle","7/12/2016","Female","Black","UFHX0IA57B",NA
252,"Green","Aaliyah","Nicole","9/23/2017","Female","Black","93PJSFIA6F",NA
253,"Thompson","Keisha","Marie","2/15/2018","Female","Black","CP9PFX7LXM",NA
254,"Jenkins","Ebony","Monique","12/7/2019","Female","Black","B1C0WO4DCT",NA
256,"Thomas","Tanisha","Michelle","4/4/2017","Female","Black","NKI5BK5U76",NA
257,"Davis","Desiree","Monique","11/18/2018","Female","Black","AQ676EUH7H",1
258,"Lewis","Sierra","Monae","5/29/2019","Female","Black","7DBFZJ61X3",NA
259,"Allen","Chantelle","Marie","7/26/2016","Female","Black","PB7MA4BBUO",NA
260,"Wright","Kiana","Nicole","10/2/2017","Female","Black","BXF5B928GA",NA
261,"Collins","Shanice","Marie","1/9/2018","Female","Black","4XMX20ZEXK",NA
262,"King","Jasmine","Renee","9/1/2019","Female","Black","MEGT0XXKJ6",NA
263,"Adams","Monique","Danielle","6/7/2016","Female","Black","YQC5VAP7S3",1
264,"Scot","Tia","Renee","3/17/2017","Female","","W2R91395CL",1
265,"Powell","Latisha","Marie","12/1/2018","Female","Black","OMF1FLZAUV",NA
266,"Cooper","Aisha","Nicole","7/8/2019","Female","Black","F48MAZS0U3",NA
267,"Wright","Shakira","Monique","5/14/2016","Female","Black","JQE9ARQ81Y",NA
268,"Richardson","Ciara","Marie","8/5/2017","Female","Black","JA29KI0RIV",1
269,"Reed","Jada","Marie","3/23/2018","Female","Black","9BODD2O49E",NA
270,"Lee","Jazmine","Michelle","11/12/2019","Female","Black","Z4ZU48545O",1
271,"Davis","Malik","Xavier","8/17/2016","Male","Black","MTK0JY996N",NA
272,"Johnson","Jamal","Amir","1/27/2017","Male","Black","ZLBITSMIFK",NA
273,"Wright","Tyrone","Alexander","10/11/2018","Male","Black","IH4LH4K2U9",NA
274,"Jackson","Corey","James","6/20/2019","Male","Black","RDFCBURBWD",1
275,"Carter","Darnell","Maurice","6/1/2016","Male","Black","0H88Q4R9X7",NA
276,"Thompson","DeShawn","Isaiah","2/12/2017","Male","Black","HB6QUKE675",NA
277,"Lewis","Andre","Lamar","9/28/2018","Male","Black","I5WVY4YYAK",1
278,"Brown","Marcus","Anthony","4/3/2019","Male","Black","3ESND4IGDQ",NA
279,"Mitchell","Xavier","","4/10/2018","Male","","1E371ELU76",1
280,"Wilson","Terrence","Michael","11/9/2017","Male","Black","Y5FGOIN7OR",1
281,"Hill","Devni","Isaiah","2/22/2018","Male","Black","0DIVSS9JV9",1
282,"Wright","Clarence","Jerome","10/8/2019",NA,"Black","IAMZB2QAQB",1
283,"Green","Troy","Alexander","10/1/2016",NA,"Black","Z5TZMGVMJ0",NA
284,"Robinson","Reginald","Joseph","7/14/2017",NA,"Black","MVTD26AV0V",NA
285,"Scott","Demetrius","DeShawn","4/28/2018",NA,"Black","ATZ78U3JTF",NA
286,"Anderson","Marquis","Alexander","12/14/2019",NA,"Black","50ZMTFPOWZ",1
287,"Hayes","Jamal","Christopher","8/30/2016",NA,"Black","0LXNQG14P7",NA
288,"Baker","Cedric","Lamar","5/2/2017","Male","Black","Q0P85N2CJS",1
289,"Turner","Maurice","Darnell","11/4/2018","Male","Black","3CTE0PW5FX",NA
290,"Cooper","Jamar","Maurice","6/15/2019","Male","Black","579D82D5GC",NA
291,"Johnson","Dominique","James","3/3/2016","Male","Black","6Z3M0BBP0M",NA
292,"Davis","Rashad","Malik","10/4/2017","Male","Black","DVNWCNTIBH",1
294,"Wright","Rashad","","9/16/2019","Male","Black","GACJBCPS91",NA
295,"Thompson","DeAndre","","7/30/2016","Male","Black","DGBJM897M9",NA
296,"Greene","Michael","","11/1/2017","Male","Black","QP4Y27XP4U",NA
297,"Scott","Christopher","Maurice","2/9/2018","Male","Black","J8Z5EJLBPW",NA
298,"Jackson","Terrance","Alexander","9/23/2019","Male","Black","JI6C9YYUGM",1
299,"Mitchell","Brandon","James","6/10/2016","Male","Black","F1ZF9DX28Z",NA
300,"White","Xavier","Malik","3/24/2017","Male","Black","4Y8UUSAOBA",NA
301,"Smith","Ava","Elizabeth","5/12/2017","Female","Black","HTC1WRDKFU",NA
302,"Johnson","Sophia","Rose","2/28/2017",NA,"White","C8RSUH9UIA",NA
303,"Brown","Emma","Grace","9/6/2019",NA,"Black","848G0F4MW3",NA
304,"Martinez","Mia","Olivia","7/3/2016",NA,"NHOPI","7IZMD9GWPE",NA
305,"Nguyen","Isabella","Marie","10/23/2017",NA,"Black","GD2ND3IVIS",NA
306,"Lee","Charlotte","Alexandra","1/11/2020",NA,"AIAN","KZU8CZJJEL",NA
307,"Davis","Harper","Victoria","4/7/2019",NA,"AIAN","6PQPTKEV6F",NA
308,"Robinson","Amelia","Faith","11/14/2018",NA,"Black","8PZA8FGFJ1",1
309,"Wilson","Abigail","Elizabeth","12/10/2019",NA,"Asian","UPVIF5KXVW",NA
310,"Garcia","Emily","Sophia","8/22/2017","Female","Asian","MMEIWF1FKA",NA
311,"Anderson","Madison","Grace","2/19/2018","Female","NHOPI","IUPUPYVSGQ",NA
312,"Perez","Elizabeth","Marie","11/27/2016","Female","White","V1QNZ4S7YU",NA
313,"Taylor","Scarlett","Amelia","9/8/2020","Female","White","EQAGVNERTG",NA
314,"Martinez","Aria","Madison","4/15/2017","Female","White","CA7QSI2K15",NA
315,"Davis","Evelyn","Faith","3/3/2018","Female","NHOPI","GM0KWHABJB",1
316,"Hernandez","Victoria","Claire","7/27/2019","Female","Black","WKN7T6XZ62",NA
317,"Lee","Chloe","Isabella","12/18/2017","Female","White","A1S2RKTKYJ",1
318,"Kim","Grace","Olivia","8/30/2020","Female","Asian","1WENYOAFYK",NA
319,"Nguyen","Penelope","Elizabeth","11/7/2019","Female","White","X7S0FYHH1S",NA
320,"Anderson","Riley","Nicole","6/29/2016","Female","White","Y29IMI5A5M",NA
321,"Johnson","Aubrey","Sophia","1/28/2017","Female","AIAN","INUTQNM0F7",NA
322,"Kim","Zoey","Elizabeth","10/15/2017","Female","Black","ST9X20TIT9",1
323,"Robinson","Natalie","Marie","2/7/2020","Female","White","BBO21WDOXW",NA
324,"Davis","Harpper","","5/2/2018","Female","White","1KY9QRSMWI",1
325,"Lee","Ariana","Elizabeth","11/26/2020","Female","NHOPI","QACW51TNXW",1
326,"Anderson","Addsion","Grace","9/3/2017","Female","Black","JGJXJFS0RW",1
327,"Hernandez","Peyton","Olivia","7/19/2018","Female","White","J3USEALNN8",NA
328,"Brown","Brooklyn","Marie","12/28/2016","Female","Black","1CR9T83CO7",NA
329,"Davis","Layla","Elizabeth","8/9/2019","Female","Black","CFZ3BHJLHM",NA
330,"Johnson","Savannah","Grace","2/16/2017","Female","White","M9U8GX48OW",NA
331,"Robinson","Claire","Olivia","4/4/2018","Female","White","I1LY35MIRT",1
